date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,canonical_region_id,canonical_district_id,source_dataset
1996-07-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1100.0,0.42,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-07-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4600.0,1.76,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-07-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1100.0,0.42,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-07-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,700.0,0.27,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-07-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1325.0,0.51,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-07-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,750.0,0.29,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-08-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,675.0,0.26,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-08-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1070.0,0.41,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-08-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,700.0,0.27,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-08-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1438.0,0.55,SO22,,WFP Somalia Food Prices via HDX
1996-08-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,4000.0,1.53,SO16,SO1601,WFP Somalia Food Prices via HDX
1996-08-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4000.0,1.53,SO16,SO1601,WFP Somalia Food Prices via HDX
1996-08-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,4000.0,1.53,SO16,SO1601,WFP Somalia Food Prices via HDX
1996-08-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1200.0,0.46,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-08-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4700.0,1.79,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-08-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1025.0,0.39,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-08-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,600.0,0.23,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-08-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,975.0,0.37,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-08-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,625.0,0.24,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-09-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,692.0,0.26,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-09-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1091.0,0.42,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-09-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,709.0,0.27,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-09-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1600.0,0.61,SO22,,WFP Somalia Food Prices via HDX
1996-09-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1150.0,0.44,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-09-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4050.0,1.55,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-09-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1175.0,0.45,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-09-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,607.0,0.23,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-09-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1123.0,0.43,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-09-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,673.0,0.26,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-10-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1075.0,0.41,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-10-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1980.0,0.76,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-10-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1213.0,0.46,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-10-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1913.0,0.73,SO22,,WFP Somalia Food Prices via HDX
1996-10-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1433.0,0.55,SO24,SO2401,WFP Somalia Food Prices via HDX
