risk_type,geography_type,geography_id,as_of_date,risk_probability,risk_level,population_context,population_potentially_exposed,exposure_method,source_version,model_version,quality_status
DROUGHT,DISTRICT,SO1501,2025-12-18,0.016835016835016835,NORMAL,183960.281,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1502,2025-12-18,0.05228758169934641,NORMAL,96602.281,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1503,2025-12-18,0.016835016835016835,NORMAL,161981.5,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1601,2025-12-18,0.016835016835016835,NORMAL,802999.062,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1602,2025-12-18,0.22641509433962265,WATCH,39622.098,39622.098,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1603,2025-12-18,0.11464968152866242,NORMAL,66496.609,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1604,2025-12-18,0.0784313725490196,NORMAL,61618.594,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1605,2025-12-18,0.016835016835016835,NORMAL,62819.422,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1606,2025-12-18,0.05228758169934641,NORMAL,175103.156,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1701,2025-12-18,0.14545454545454545,WATCH,344608.938,344608.938,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1702,2025-12-18,0.22641509433962265,WATCH,135338.094,135338.094,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1703,2025-12-18,0.22641509433962265,WATCH,174090.703,174090.703,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1801,2025-12-18,0.16346153846153846,WATCH,855299.125,855299.125,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1802,2025-12-18,0.11464968152866242,NORMAL,183752.938,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1803,2025-12-18,0.4876543209876543,WARNING,195319.781,195319.781,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1804,2025-12-18,0.2692307692307692,WATCH,200653.078,200653.078,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1805,2025-12-18,0.659217877094972,SEVERE,85118.922,85118.922,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1901,2025-12-18,0.6428571428571429,SEVERE,260461.625,260461.625,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1902,2025-12-18,0.4876543209876543,WARNING,197484.156,197484.156,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1903,2025-12-18,0.3877551020408163,WARNING,141296.625,141296.625,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1904,2025-12-18,0.4876543209876543,WARNING,112914.188,112914.188,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1905,2025-12-18,0.6428571428571429,SEVERE,109362.281,109362.281,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO2001,2025-12-18,0.4876543209876543,WARNING,348532.312,348532.312,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
