district_id,district_name,region_id,region_name,year,season,season_order,rainfall_mm,heavy_rain_days,valid_days,valid_pixel_fraction,baseline_mean_mm,baseline_std_mm,rainfall_anomaly_mm,rainfall_anomaly_z,percent_of_normal,source_version
SO1402,Caynabo,SO14,Sool,2016,Gu,2,117.82367637462812,0,91,1.0,135.46340562519273,41.90617239386589,-17.639729250564613,-0.4209339160058118,86.9782328525158,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2016,Jilaal,1,4.245058097722016,0,91,1.0,17.36127373208769,23.965083971478318,-13.116215634365673,-0.5473052232980172,24.451305608275486,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2016,Xagaa,3,7.098971984980681,0,92,1.0,34.04055230446078,15.571732126763298,-26.941580319480103,-1.7301595031406511,20.854455948561117,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2017,Deyr,4,53.57819628842172,0,92,1.0,71.15368220479392,64.733946343721,-17.5754859163722,-0.27150339055571837,75.29926017632287,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2017,Gu,2,105.22677691511686,0,91,1.0,135.46340562519273,41.90617239386589,-30.236628710075877,-0.7215316260785924,77.6791166806066,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2017,Jilaal,1,4.127263040475157,0,90,1.0,17.36127373208769,23.965083971478318,-13.234010691612532,-0.5522205015998605,23.7728124339576,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2017,Xagaa,3,35.57403576988559,0,92,1.0,34.04055230446078,15.571732126763298,1.5334834654248084,0.09847866974215376,104.50487245832335,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2018,Deyr,4,32.66561944245405,0,92,1.0,71.15368220479392,64.733946343721,-38.48806276233987,-0.5945576461224521,45.90854391545914,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2018,Gu,2,197.33683097889903,2,91,1.0,135.46340562519273,41.90617239386589,61.873425353706295,1.4764752259445952,145.67538005422728,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2018,Jilaal,1,4.491159153047188,0,90,1.0,17.36127373208769,23.965083971478318,-12.8701145790405,-0.5370360727447344,25.868834409001206,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
